artist,2021-01-02 00:00:00,2021-01-09 00:00:00,2021-01-16 00:00:00,2021-01-23 00:00:00,2021-01-30 00:00:00,2021-02-06 00:00:00,2021-02-13 00:00:00,2021-02-20 00:00:00,2021-02-27 00:00:00,2021-03-06 00:00:00,2021-03-13 00:00:00,2021-03-20 00:00:00,2021-03-27 00:00:00,2021-04-03 00:00:00,2021-04-10 00:00:00,2021-04-17 00:00:00,2021-04-24 00:00:00,2021-05-01 00:00:00,2021-05-08 00:00:00,2021-05-15 00:00:00,2021-05-22 00:00:00,2021-05-29 00:00:00,2021-06-05 00:00:00,2021-06-12 00:00:00,2021-06-19 00:00:00,2021-06-26 00:00:00,2021-07-03 00:00:00,2021-07-10 00:00:00,2021-07-17 00:00:00,2021-07-24 00:00:00,2021-07-31 00:00:00,2021-08-07 00:00:00,2021-08-14 00:00:00,2021-08-21 00:00:00,2021-08-28 00:00:00,2021-09-04 00:00:00,2021-09-11 00:00:00,2021-09-18 00:00:00,2021-09-25 00:00:00,2021-10-02 00:00:00,2021-10-09 00:00:00,2021-10-16 00:00:00,2021-10-23 00:00:00,2021-10-30 00:00:00,2021-11-06 00:00:00
Internet Money & Gunna Featuring Don Toliver & NAV,100,14,12,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
J. Cole,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,8,5,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
J. Cole & Bas,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,14,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
J. Cole & Lil Baby,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,7,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"J. Cole, 21 Savage & Morray",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"J. Cole, Bas & 6LACK",100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,19,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Jason Aldean & Carrie Underwood,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,15,100,100,100,100,100,100,100,100,100,19,19,100,18
Jose Feliciano,6,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Justin Bieber,100,100,6,100,100,100,100,100,100,100,100,100,100,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Justin Bieber & benny blanco,100,100,18,12,14,13,12,16,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
Justin Bieber Featuring Chance The Rapper,100,4,4,7,8,8,9,14,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
